epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,588.446,1.83389,2.5121,2.00907,0.00483,0.52786,0.00393,0.00128,2.74769,inf,17.6743,0.000649573,0.000649573,0.000649573
2,1045.08,1.98087,2.20394,2.07624,7e-05,0.00293,4e-05,1e-05,nan,nan,nan,0.0012728,0.0012728,0.0012728
3,1450.77,2.04381,2.20724,2.18485,0.00027,0.02053,0.00015,4e-05,nan,nan,nan,0.00185203,0.00185203,0.00185203
4,1855.81,1.98799,2.17824,2.13039,0.00124,0.19062,0.00082,0.00027,3.51076,inf,48.2113,0.001802,0.001802,0.001802
5,2238.49,1.98875,2.12802,2.12263,0.16681,0.17889,0.06435,0.02192,2.6047,5.70978,3.29565,0.001736,0.001736,0.001736
6,2728.06,1.86837,1.9683,2.03054,0.08267,0.28739,0.04389,0.01414,2.50841,6.79612,3.14901,0.00167,0.00167,0.00167
7,3199.81,1.83726,1.8758,1.962,0.34729,0.37243,0.31812,0.12249,2.03406,2.87305,2.34796,0.001604,0.001604,0.001604
8,3584.92,1.78168,1.8035,1.95778,0.57216,0.47507,0.48002,0.20853,1.84889,2.41412,2.15917,0.001538,0.001538,0.001538
9,3999.84,1.75914,1.76485,1.9236,0.5519,0.48037,0.49604,0.21102,1.82964,2.1089,2.16974,0.001472,0.001472,0.001472
10,4445.77,1.73963,1.70679,1.90764,0.686,0.55425,0.63819,0.29482,1.72244,2.04232,2.00177,0.001406,0.001406,0.001406
11,4888.43,1.66916,1.60752,1.85072,0.62226,0.58651,0.61996,0.28065,1.85441,1.56715,2.10668,0.00134,0.00134,0.00134
12,5273.08,1.62375,1.52363,1.83186,0.63938,0.62915,0.65031,0.32385,1.6612,1.69052,1.93291,0.001274,0.001274,0.001274
13,5662.94,1.63341,1.55823,1.83259,0.73931,0.52493,0.64342,0.33262,1.65961,1.65783,1.88232,0.001208,0.001208,0.001208
14,6107.23,1.55095,1.46684,1.76937,0.7437,0.62757,0.69643,0.36849,1.6325,1.35504,1.93745,0.001142,0.001142,0.001142
15,6473.1,1.5536,1.4138,1.76861,0.73766,0.56891,0.66745,0.32556,1.85429,1.5323,2.13055,0.001076,0.001076,0.001076
16,6948.35,1.53026,1.33839,1.73584,0.71988,0.65689,0.72262,0.36394,1.67146,1.34748,2.0186,0.00101,0.00101,0.00101
17,7398.49,1.49929,1.36278,1.72192,0.70116,0.71554,0.74778,0.36819,1.6403,1.27275,1.93757,0.000944,0.000944,0.000944
18,7797.36,1.49894,1.28865,1.72616,0.80383,0.60997,0.727,0.371,1.62423,1.5078,1.92017,0.000878,0.000878,0.000878
19,8161.86,1.46309,1.25745,1.66834,0.78354,0.739,0.79068,0.42385,1.6474,1.21601,1.86508,0.000812,0.000812,0.000812
20,8606.86,1.42235,1.1748,1.64988,0.84337,0.75793,0.84789,0.47734,1.53073,1.08129,1.8088,0.000746,0.000746,0.000746
21,9026.23,1.40369,1.09346,1.69229,0.84548,0.72206,0.82968,0.45314,1.539,1.06903,1.8334,0.00068,0.00068,0.00068
22,9377.89,1.36006,1.03781,1.68079,0.85358,0.73513,0.84673,0.48087,1.49847,1.01897,1.81751,0.000614,0.000614,0.000614
23,9802.98,1.35626,1.00194,1.67526,0.86375,0.74361,0.84535,0.47419,1.50349,1.09401,1.79524,0.000548,0.000548,0.000548
24,10180.6,1.34797,0.99863,1.62261,0.86011,0.78299,0.8687,0.49581,1.47207,0.99473,1.73905,0.000482,0.000482,0.000482
25,10577.8,1.2946,0.94532,1.58443,0.86737,0.80938,0.89427,0.5142,1.47092,0.92536,1.77196,0.000416,0.000416,0.000416
26,11052.7,1.25582,0.88741,1.572,0.9361,0.77126,0.89954,0.52106,1.44005,0.88475,1.74107,0.00035,0.00035,0.00035
27,11485.6,1.20854,0.85871,1.53975,0.8599,0.84593,0.9089,0.5301,1.44122,0.87311,1.76463,0.000284,0.000284,0.000284
28,11836.1,1.17869,0.79997,1.50856,0.86626,0.85337,0.91271,0.54285,1.38158,0.83807,1.70503,0.000218,0.000218,0.000218
29,12262,1.14959,0.7779,1.48975,0.93928,0.79179,0.91276,0.55954,1.36568,0.81579,1.68046,0.000152,0.000152,0.000152
30,12709.3,1.14047,0.7704,1.476,0.88319,0.84457,0.92181,0.56947,1.3617,0.79952,1.68911,8.6e-05,8.6e-05,8.6e-05
