epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,820.225,1.42279,1.52185,1.57291,0.08379,0.47656,0.06911,0.01822,2.45281,42.5102,3.60314,0.000654762,0.000654762,0.000654762
2,1710.97,1.37845,0.94921,1.50984,0,0,0,0,nan,nan,nan,0.00127782,0.00127782,0.00127782
3,2406.88,1.37563,0.9065,1.51027,0,0,0,0,nan,nan,nan,0.00185688,0.00185688,0.00185688
4,3147.05,1.371,0.86957,1.51774,0.01237,0.01562,0.00075,0.00023,5.41756,10.5484,5.29218,0.001802,0.001802,0.001802
5,3819.94,1.322,0.79573,1.46282,0.02643,0.02734,0.00479,0.0014,3.30219,5.04335,3.81462,0.001736,0.001736,0.001736
6,4494.25,1.32184,0.78751,1.46314,0.75048,0.67188,0.67897,0.37922,1.61569,2.15159,2.33649,0.00167,0.00167,0.00167
7,5182.74,1.20973,0.69794,1.39652,0.9356,0.88281,0.95749,0.64943,1.18041,0.70181,1.64867,0.001604,0.001604,0.001604
8,5836.52,1.22574,0.67005,1.41377,0.94262,0.83419,0.93529,0.59123,1.2894,0.91676,1.75383,0.001538,0.001538,0.001538
9,6526.64,1.1866,0.65911,1.39339,0.95697,0.95572,0.98721,0.64597,1.18842,0.66138,1.66008,0.001472,0.001472,0.001472
10,7165.32,1.18236,0.69317,1.39826,0.95891,0.91169,0.97029,0.63038,1.25432,0.66193,1.77533,0.001406,0.001406,0.001406
11,7846.15,1.15824,0.6403,1.36392,0.9715,0.96094,0.98403,0.66615,1.1477,0.63608,1.64021,0.00134,0.00134,0.00134
12,8514.94,1.1524,0.61544,1.3514,0.97697,0.98438,0.99389,0.69111,1.12393,0.56766,1.62289,0.001274,0.001274,0.001274
13,9152.86,1.12102,0.61031,1.31409,0.9682,0.95144,0.98496,0.68266,1.13304,0.58807,1.62779,0.001208,0.001208,0.001208
14,9791.96,1.09779,0.58779,1.34262,0.98824,0.98453,0.99457,0.71682,1.01401,0.49934,1.47326,0.001142,0.001142,0.001142
15,10459,1.07705,0.56983,1.2979,0.97658,0.97749,0.99345,0.72303,1.02771,0.4924,1.50795,0.001076,0.001076,0.001076
16,11091.1,1.0633,0.54856,1.29679,0.98039,0.97669,0.99381,0.70458,1.0485,0.49649,1.52691,0.00101,0.00101,0.00101
17,11758.6,1.04141,0.54011,1.28022,0.99267,0.99219,0.99445,0.71564,1.00609,0.48611,1.4941,0.000944,0.000944,0.000944
18,12316,1.04812,0.52482,1.28308,0.9861,0.97656,0.99376,0.70984,1.05759,0.52878,1.50041,0.000878,0.000878,0.000878
19,13014,1.05947,0.54381,1.30412,0.98048,0.98084,0.99457,0.72613,1.01943,0.48288,1.47863,0.000812,0.000812,0.000812
20,13666.4,1.03171,0.51462,1.2803,0.97649,0.98828,0.99442,0.7275,0.99609,0.49236,1.4571,0.000746,0.000746,0.000746
21,14278.6,1.02795,0.48216,1.44507,0.99609,0.9958,0.99488,0.75701,0.93979,0.4422,1.41081,0.00068,0.00068,0.00068
22,14926.1,0.9951,0.46667,1.4297,0.99012,0.99609,0.99461,0.75263,0.96854,0.44905,1.45198,0.000614,0.000614,0.000614
23,15543.7,0.95575,0.4302,1.38111,0.99573,0.99609,0.99496,0.75057,0.93611,0.41938,1.41739,0.000548,0.000548,0.000548
24,16157.5,0.94725,0.41925,1.37132,0.99482,0.99609,0.99496,0.7348,0.99489,0.4213,1.44745,0.000482,0.000482,0.000482
25,16809.6,0.94988,0.41781,1.37653,0.99557,0.99609,0.99496,0.75956,0.94127,0.41783,1.40998,0.000416,0.000416,0.000416
26,17414.3,0.92775,0.41226,1.35989,0.99483,0.99219,0.99492,0.75431,0.93707,0.40465,1.40951,0.00035,0.00035,0.00035
27,18144,0.91409,0.39813,1.34046,0.98776,0.99609,0.99492,0.75248,0.91369,0.38598,1.39378,0.000284,0.000284,0.000284
28,18857.1,0.89624,0.38763,1.31698,0.99575,0.99609,0.995,0.75783,0.9275,0.38426,1.40842,0.000218,0.000218,0.000218
29,19535.8,0.88906,0.38935,1.32694,0.99522,0.99609,0.99488,0.76015,0.90479,0.3706,1.37058,0.000152,0.000152,0.000152
30,20201.6,0.88228,0.37298,1.30708,0.99652,0.99609,0.995,0.76216,0.89185,0.36261,1.37437,8.6e-05,8.6e-05,8.6e-05
